longitude,latitude,name,url,rating
,,,https://www.tripadvisor.com/Restaurant_Review-g60974-d5316836-Reviews-Grill_Kabob-Buffalo_New_York.html,4.5
-78.87922,42.8996,Allen St Hardware Store Cafe,https://www.tripadvisor.com/Restaurant_Review-g60974-d846602-Reviews-Allen_St_Hardware_Store_Cafe-Buffalo_New_York.html,4.0
-78.87184,42.872234,Swannie House,https://www.tripadvisor.com/Restaurant_Review-g60974-d409048-Reviews-Swannie_House-Buffalo_New_York.html,4.0
-78.87664,42.926273,Mister Pizza,https://www.tripadvisor.com/Restaurant_Review-g60974-d408598-Reviews-Mister_Pizza-Buffalo_New_York.html,4.5
-78.83835,42.86063,Parker's British Institution,https://www.tripadvisor.com/Restaurant_Review-g60974-d10209968-Reviews-Parker_s_British_Institution-Buffalo_New_York.html,5.0
-78.87218,42.890625,Expo,https://www.tripadvisor.com/Restaurant_Review-g60974-d10047686-Reviews-Expo-Buffalo_New_York.html,4.5
-78.87325,42.88803,D'Avolio,https://www.tripadvisor.com/Restaurant_Review-g60974-d8746629-Reviews-D_Avolio-Buffalo_New_York.html,4.5
-78.875786,42.892365,Risa's Restaurant,https://www.tripadvisor.com/Restaurant_Review-g60974-d4252546-Reviews-Risa_s_Restaurant-Buffalo_New_York.html,5.0
-78.87701,42.92251,Jim's Steak-out,https://www.tripadvisor.com/Restaurant_Review-g60974-d408932-Reviews-Jim_s_Steak_out-Buffalo_New_York.html,4.5
-78.89014,42.92416,Gypsy Parlor,https://www.tripadvisor.com/Restaurant_Review-g60974-d5211809-Reviews-Gypsy_Parlor-Buffalo_New_York.html,4.5
-78.877174,42.890827,Salsarita's Fresh Cantina,https://www.tripadvisor.com/Restaurant_Review-g60974-d853233-Reviews-Salsarita_s_Fresh_Cantina-Buffalo_New_York.html,4.0
-78.87503,42.885136,Gino & Joe's Pizza,https://www.tripadvisor.com/Restaurant_Review-g60974-d408679-Reviews-Gino_Joe_s_Pizza-Buffalo_New_York.html,4.5
-78.87643,42.89048,Local Kitchen & Beer Bar,https://www.tripadvisor.com/Restaurant_Review-g60974-d10241450-Reviews-Local_Kitchen_Beer_Bar-Buffalo_New_York.html,4.5
-78.872856,42.899563,Gatur's Ethiopian Cuisine,https://www.tripadvisor.com/Restaurant_Review-g60974-d3509436-Reviews-Gatur_s_Ethiopian_Cuisine-Buffalo_New_York.html,4.5
-78.8553,42.94772,Bertha's,https://www.tripadvisor.com/Restaurant_Review-g60974-d408739-Reviews-Bertha_s-Buffalo_New_York.html,4.0
-78.854256,42.95883,Gigi's Cucina Povera,https://www.tripadvisor.com/Restaurant_Review-g60974-d4824475-Reviews-Gigi_s_Cucina_Povera-Buffalo_New_York.html,4.0
